Device Name,Device Type,Serial Number,Product Number (PN),IP Address,Site,Total Interfaces,Up Links,Down Links,Access Port,UP Link Interfaces,Interface Types,Stack,Active PSU,Non Active PSU,Switch Topology,Switch Mode,PSU Count,PSU Model,Total Power Capacity,Power Output (W),Power Input (W),"Energy Efficiency%

Col U(Power Output)/Col V(Power Input)","Power Consumption Ratio(W/MB)

Col  V(Power Input) / Col AC(Data Traffic Consumed(MB))
Note: Power used per input traffic.",Input Packets,Output Packets,RX (MB),TX (MB),Data Traffic Consumed (MB),Data Traffic Consumed (GB),"Data Traffic Allocated (MB)","Data Throughput per Watt (MB/W)",
"DataTraffic Utilization%","Carbon Emission (kgCO₂)",Carbon Emission (tonCO₂),HW End-of-Life (EoL),HW End-of-Support (EoS),HW Last Day of Support,HW Last Date of RFA,HW Security Support EoS,SW Maintenance EoL,SW Vulnerability Support EoS,Error Message
SABLD420G01,cisco_ios,FOC2232Z0Y7,C9300-48U,10.70.100.30,Jebel Ali,69,38,31,48,"Vlan100, GigabitEthernet1/0/2, GigabitEthernet1/0/3, GigabitEthernet1/0/4, GigabitEthernet1/0/5, GigabitEthernet1/0/6, GigabitEthernet1/0/8, GigabitEthernet1/0/10, GigabitEthernet1/0/14, GigabitEthernet1/0/15, GigabitEthernet1/0/17, GigabitEthernet1/0/18, GigabitEthernet1/0/20, GigabitEthernet1/0/21, GigabitEthernet1/0/23, GigabitEthernet1/0/24, GigabitEthernet1/0/25, GigabitEthernet1/0/27, GigabitEthernet1/0/28, GigabitEthernet1/0/30, GigabitEthernet1/0/31, GigabitEthernet1/0/32, GigabitEthernet1/0/33, GigabitEthernet1/0/34, GigabitEthernet1/0/35, GigabitEthernet1/0/37, GigabitEthernet1/0/38, GigabitEthernet1/0/39, GigabitEthernet1/0/40, GigabitEthernet1/0/41, GigabitEthernet1/0/42, GigabitEthernet1/0/43, GigabitEthernet1/0/44, GigabitEthernet1/0/45, GigabitEthernet1/0/46, GigabitEthernet1/0/48, TenGigabitEthernet1/1/1, AppGigabitEthernet1/0/1","2 Virtual, 52 Gigabit, 8 TenGigabit, 2 TwentyFiveGigabit, 2 FortyGigabit",FALSE,2,0,Standalone,Power sharing,2,PWR-C1-1100WAC,2200,3435,5832,58.9,0.0364,121528946,129716203,79750.49,80361.067,160111.558,156.359,23220000,27.454,0.689542,1.3881,0.0014,,,,,,,,Successfully connected to device.
SAPL6BTDCG02,cisco_ios,FOC2232Q0VN,C9300-48U,10.60.100.17,Jebel Ali,68,25,43,48,"Vlan100, GigabitEthernet1/0/1, GigabitEthernet1/0/2, GigabitEthernet1/0/8, GigabitEthernet1/0/10, GigabitEthernet1/0/11, GigabitEthernet1/0/13, GigabitEthernet1/0/16, GigabitEthernet1/0/19, GigabitEthernet1/0/20, GigabitEthernet1/0/21, GigabitEthernet1/0/23, GigabitEthernet1/0/24, GigabitEthernet1/0/27, GigabitEthernet1/0/30, GigabitEthernet1/0/31, GigabitEthernet1/0/34, GigabitEthernet1/0/37, GigabitEthernet1/0/38, GigabitEthernet1/0/39, GigabitEthernet1/0/41, GigabitEthernet1/0/45, GigabitEthernet1/0/48, TenGigabitEthernet1/1/1, AppGigabitEthernet1/0/1","2 Virtual, 52 Gigabit, 8 TenGigabit, 2 TwentyFiveGigabit, 2 FortyGigabit",FALSE,1,1,Standalone,Power sharing,2,"PWR-C1-1100WAC,Unknown",1100,3432,5832,58.85,0.0982,44052152,52902854,28289.585,31126.587,59416.172,58.024,21240000,10.188,0.279737,1.3869,0.0014,,,,,,,,Successfully connected to device.
SACH2HDC17019G01,cisco_ios,FCW2234C12E,C9300-24P,10.20.100.38,Jebel Ali,45,14,31,24,"Vlan200, GigabitEthernet1/0/1, GigabitEthernet1/0/3, GigabitEthernet1/0/4, GigabitEthernet1/0/5, GigabitEthernet1/0/9, GigabitEthernet1/0/19, GigabitEthernet1/0/20, GigabitEthernet1/0/23, GigabitEthernet1/0/24, TenGigabitEthernet1/1/1, TenGigabitEthernet1/1/2, AppGigabitEthernet1/0/1, Port-channel1","2 Virtual, 28 Gigabit, 8 TenGigabit, 2 TwentyFiveGigabit, 2 FortyGigabit",FALSE,1,1,Standalone,Power sharing,2,"Unknown,PWR-C1-715WAC",715,3316,5640,58.79,0.3169,26694770,25581420,9864.247,7932.715,17796.963,17.38,9810000,3.155,0.181417,1.34,0.0013,,,,,,,,Successfully connected to device.
JA-CORP-POWER-DIST,cisco_ios,FXS2224Q42Q,C9407R,10.70.100.1,Jebel Ali,179,105,74,480,"Vlan10, Vlan11, Vlan12, Vlan13, Vlan14, Vlan15, Vlan16, Vlan17, Vlan18, Vlan19, Vlan20, Vlan21, Vlan22, Vlan23, Vlan24, Vlan25, Vlan26, Vlan27, Vlan28, Vlan29, Vlan30, Vlan31, Vlan32, Vlan33, Vlan34, Vlan35, Vlan36, Vlan37, Vlan38, Vlan39, Vlan40, Vlan41, Vlan52, Vlan100, Vlan101, Vlan314, Vlan401, Vlan402, Vlan403, Vlan404, Vlan901, Vlan1030, Vlan1710, TenGigabitEthernet1/1/0/1, TenGigabitEthernet1/1/0/2, TenGigabitEthernet1/1/0/3, TenGigabitEthernet1/1/0/4, TenGigabitEthernet1/1/0/5, TenGigabitEthernet1/1/0/6, TenGigabitEthernet1/1/0/7, TenGigabitEthernet1/1/0/8, TenGigabitEthernet1/1/0/9, TenGigabitEthernet1/1/0/10, TenGigabitEthernet1/1/0/11, TenGigabitEthernet1/1/0/12, TenGigabitEthernet1/1/0/14, TenGigabitEthernet1/1/0/16, TenGigabitEthernet1/1/0/17, TenGigabitEthernet1/1/0/18, TenGigabitEthernet1/1/0/19, TenGigabitEthernet1/1/0/20, TenGigabitEthernet1/1/0/24, TenGigabitEthernet1/2/0/1, TenGigabitEthernet1/3/0/1, TenGigabitEthernet1/3/0/2, TenGigabitEthernet1/3/0/3, TenGigabitEthernet2/1/0/1, TenGigabitEthernet2/1/0/2, TenGigabitEthernet2/1/0/4, TenGigabitEthernet2/1/0/5, TenGigabitEthernet2/1/0/6, TenGigabitEthernet2/1/0/8, TenGigabitEthernet2/1/0/9, TenGigabitEthernet2/1/0/10, TenGigabitEthernet2/1/0/11, TenGigabitEthernet2/1/0/12, TenGigabitEthernet2/1/0/13, TenGigabitEthernet2/1/0/15, TenGigabitEthernet2/1/0/16, TenGigabitEthernet2/1/0/17, TenGigabitEthernet2/1/0/19, TenGigabitEthernet2/1/0/20, TenGigabitEthernet2/1/0/21, TenGigabitEthernet2/1/0/22, TenGigabitEthernet2/2/0/1, TenGigabitEthernet2/3/0/1, TenGigabitEthernet2/3/0/2, TenGigabitEthernet2/3/0/3, Port-channel1, Port-channel2, Port-channel3, Port-channel4, Port-channel5, Port-channel6, Port-channel7, Port-channel9, Port-channel10, Port-channel11, Port-channel12, Port-channel13, Port-channel14, Port-channel16, Port-channel21, Port-channel25, Port-channel26","44 Virtual, 112 TenGigabit, 4 FortyGigabit",TRUE,0,8,,,8,C9400-PWR-3200AC,25600,33657,57600,58.43,0.005,7116786366,6841880977,5889093.01,5569589.55,11458682.56,11190.12,182250000,198.935,6.287343,13.6008,0.0136,,,,,,,,Successfully connected to device.
SACH2MLDSHP7002G01,cisco_ios,FOC2233U0GA,C9300-48U,10.20.100.41,Jebel Ali,69,41,28,48,"Vlan200, GigabitEthernet1/0/1, GigabitEthernet1/0/2, GigabitEthernet1/0/3, GigabitEthernet1/0/4, GigabitEthernet1/0/5, GigabitEthernet1/0/6, GigabitEthernet1/0/8, GigabitEthernet1/0/9, GigabitEthernet1/0/10, GigabitEthernet1/0/11, GigabitEthernet1/0/12, GigabitEthernet1/0/13, GigabitEthernet1/0/15, GigabitEthernet1/0/16, GigabitEthernet1/0/17, GigabitEthernet1/0/19, GigabitEthernet1/0/20, GigabitEthernet1/0/21, GigabitEthernet1/0/24, GigabitEthernet1/0/25, GigabitEthernet1/0/29, GigabitEthernet1/0/31, GigabitEthernet1/0/32, GigabitEthernet1/0/33, GigabitEthernet1/0/34, GigabitEthernet1/0/35, GigabitEthernet1/0/36, GigabitEthernet1/0/37, GigabitEthernet1/0/38, GigabitEthernet1/0/39, GigabitEthernet1/0/40, GigabitEthernet1/0/42, GigabitEthernet1/0/44, GigabitEthernet1/0/45, GigabitEthernet1/0/47, GigabitEthernet1/0/48, TenGigabitEthernet1/1/1, TenGigabitEthernet1/1/2, AppGigabitEthernet1/0/1, Port-channel1","2 Virtual, 52 Gigabit, 8 TenGigabit, 2 TwentyFiveGigabit, 2 FortyGigabit",FALSE,1,1,Standalone,Power sharing,2,"PWR-C1-1100WAC,Unknown",1100,3388,5832,58.09,0.0261,120275514,190850363,56331.338,166910.335,223241.673,218.009,26577000,38.279,0.839981,1.3691,0.0014,,,,,,,,Successfully connected to device.
SACH1MAINTBLDGG01,cisco_ios,FOC2207Z0HA,C9300-24T,10.10.100.33,Jebel Ali,45,5,40,24,"Vlan100, GigabitEthernet1/0/15, GigabitEthernet1/0/22, GigabitEthernet1/0/24, AppGigabitEthernet1/0/1","2 Virtual, 28 Gigabit, 8 TenGigabit, 2 TwentyFiveGigabit, 2 FortyGigabit",FALSE,1,1,Standalone,Power sharing,2,"Unknown,PWR-C1-350WAC",350,3264,5640,57.87,6.0404,985282,1489007,439.559,494.16,933.719,0.912,4050000,0.166,0.023055,1.319,0.0013,,,,,,,,Successfully connected to device.
SDPL65609G01,cisco_ios,FXS2224Q42L,C9407R,10.60.100.1,Jebel Ali,165,81,84,480,"Vlan11, Vlan12, Vlan13, Vlan14, Vlan15, Vlan17, Vlan22, Vlan24, Vlan25, Vlan26, Vlan27, Vlan28, Vlan29, Vlan30, Vlan31, Vlan32, Vlan33, Vlan34, Vlan35, Vlan36, Vlan39, Vlan40, Vlan41, Vlan42, Vlan43, Vlan44, Vlan45, Vlan46, Vlan100, Vlan101, Vlan102, Vlan313, Vlan401, Vlan402, Vlan481, Vlan482, Vlan491, Vlan492, Vlan493, Vlan494, Vlan901, Vlan1617, TenGigabitEthernet1/1/0/1, TenGigabitEthernet1/1/0/2, TenGigabitEthernet1/1/0/3, TenGigabitEthernet1/1/0/4, TenGigabitEthernet1/1/0/5, TenGigabitEthernet1/1/0/6, TenGigabitEthernet1/1/0/7, TenGigabitEthernet1/1/0/8, TenGigabitEthernet1/1/0/10, TenGigabitEthernet1/1/0/11, TenGigabitEthernet1/2/0/1, TenGigabitEthernet1/2/0/2, TenGigabitEthernet1/2/0/3, TenGigabitEthernet1/2/0/4, TenGigabitEthernet1/2/0/5, TenGigabitEthernet1/2/0/6, TenGigabitEthernet1/3/0/1, TenGigabitEthernet1/3/0/2, TenGigabitEthernet1/3/0/3, TenGigabitEthernet1/3/0/4, TenGigabitEthernet2/1/0/1, TenGigabitEthernet2/1/0/2, TenGigabitEthernet2/1/0/3, TenGigabitEthernet2/1/0/4, TenGigabitEthernet2/1/0/5, TenGigabitEthernet2/1/0/6, TenGigabitEthernet2/1/0/7, TenGigabitEthernet2/1/0/8, TenGigabitEthernet2/1/0/9, TenGigabitEthernet2/1/0/10, TenGigabitEthernet2/1/0/11, TenGigabitEthernet2/1/0/12, TenGigabitEthernet2/2/0/6, TenGigabitEthernet2/3/0/1, TenGigabitEthernet2/3/0/2, TenGigabitEthernet2/3/0/3, TenGigabitEthernet2/3/0/4, Port-channel2, Loopback0","46 Virtual, 112 TenGigabit, 4 FortyGigabit",TRUE,0,4,,,4,C9400-PWR-3200AC,12800,33219,57600,57.67,0.028,1915383129,1730491133,1122823.327,936098.617,2058921.944,2010.666,189000000,35.745,1.089377,13.4238,0.0134,,,,,,,,Successfully connected to device.
SABLD420BG02,cisco_ios,FOC2234X16E,C9300-48U,10.70.100.27,Jebel Ali,68,35,33,48,"Vlan100, GigabitEthernet1/0/2, GigabitEthernet1/0/4, GigabitEthernet1/0/8, GigabitEthernet1/0/9, GigabitEthernet1/0/10, GigabitEthernet1/0/11, GigabitEthernet1/0/14, GigabitEthernet1/0/15, GigabitEthernet1/0/19, GigabitEthernet1/0/22, GigabitEthernet1/0/23, GigabitEthernet1/0/24, GigabitEthernet1/0/25, GigabitEthernet1/0/27, GigabitEthernet1/0/29, GigabitEthernet1/0/31, GigabitEthernet1/0/32, GigabitEthernet1/0/33, GigabitEthernet1/0/34, GigabitEthernet1/0/35, GigabitEthernet1/0/36, GigabitEthernet1/0/37, GigabitEthernet1/0/38, GigabitEthernet1/0/39, GigabitEthernet1/0/40, GigabitEthernet1/0/41, GigabitEthernet1/0/42, GigabitEthernet1/0/43, GigabitEthernet1/0/44, GigabitEthernet1/0/45, GigabitEthernet1/0/46, GigabitEthernet1/0/47, GigabitEthernet1/0/48, AppGigabitEthernet1/0/1","2 Virtual, 52 Gigabit, 8 TenGigabit, 2 TwentyFiveGigabit, 2 FortyGigabit",FALSE,2,0,Standalone,Power sharing,2,PWR-C1-1100WAC,2200,3360,5832,57.61,0.0346,119281452,120628896,84275.107,84281.165,168556.272,164.606,24489000,28.902,0.688294,1.3578,0.0014,,,,,,,,Successfully connected to device.
SAFSENGDEPTG02,cisco_ios,FOC2232Z0YR,C9300-48U,10.30.100.120,Jebel Ali,110,51,59,48,"Vlan100, GigabitEthernet1/0/2, GigabitEthernet1/0/3, GigabitEthernet1/0/5, GigabitEthernet1/0/8, GigabitEthernet1/0/9, GigabitEthernet1/0/10, GigabitEthernet1/0/12, GigabitEthernet1/0/15, GigabitEthernet1/0/17, GigabitEthernet1/0/19, GigabitEthernet1/0/21, GigabitEthernet1/0/22, GigabitEthernet1/0/24, GigabitEthernet1/0/26, GigabitEthernet1/0/27, GigabitEthernet1/0/28, GigabitEthernet1/0/30, GigabitEthernet1/0/31, GigabitEthernet1/0/32, GigabitEthernet1/0/33, GigabitEthernet1/0/34, GigabitEthernet1/0/35, GigabitEthernet1/0/36, GigabitEthernet1/0/39, GigabitEthernet1/0/40, GigabitEthernet1/0/41, GigabitEthernet1/0/42, GigabitEthernet1/0/45, GigabitEthernet1/0/46, TenGigabitEthernet1/1/2, AppGigabitEthernet1/0/1, GigabitEthernet2/0/1, GigabitEthernet2/0/2, GigabitEthernet2/0/3, GigabitEthernet2/0/6, GigabitEthernet2/0/7, GigabitEthernet2/0/8, GigabitEthernet2/0/9, GigabitEthernet2/0/10, GigabitEthernet2/0/11, GigabitEthernet2/0/12, GigabitEthernet2/0/13, GigabitEthernet2/0/14, GigabitEthernet2/0/21, GigabitEthernet2/0/22, GigabitEthernet2/0/23, GigabitEthernet2/0/24, TenGigabitEthernet2/1/1, AppGigabitEthernet2/0/1, Port-channel1","2 Virtual, 80 Gigabit, 16 TenGigabit, 4 TwentyFiveGigabit, 4 FortyGigabit",TRUE,2,2,Standalone,Power sharing,4,"PWR-C1-1100WAC,Unknown,PWR-C1-715WAC",1815,6600,11472,57.53,0.0247,261425470,388199771,150014.546,313714.182,463728.728,452.86,39060000,40.423,1.187222,2.6671,0.0027,,,,,,,,Successfully connected to device.
SABLD420BG01,cisco_ios,FOC2232Z0TN,C9300-48U,10.70.100.12,Jebel Ali,68,33,35,48,"Vlan100, GigabitEthernet1/0/1, GigabitEthernet1/0/2, GigabitEthernet1/0/4, GigabitEthernet1/0/5, GigabitEthernet1/0/8, GigabitEthernet1/0/10, GigabitEthernet1/0/11, GigabitEthernet1/0/12, GigabitEthernet1/0/13, GigabitEthernet1/0/14, GigabitEthernet1/0/15, GigabitEthernet1/0/19, GigabitEthernet1/0/21, GigabitEthernet1/0/23, GigabitEthernet1/0/25, GigabitEthernet1/0/26, GigabitEthernet1/0/27, GigabitEthernet1/0/30, GigabitEthernet1/0/31, GigabitEthernet1/0/33, GigabitEthernet1/0/34, GigabitEthernet1/0/35, GigabitEthernet1/0/36, GigabitEthernet1/0/38, GigabitEthernet1/0/39, GigabitEthernet1/0/41, GigabitEthernet1/0/43, GigabitEthernet1/0/44, GigabitEthernet1/0/47, GigabitEthernet1/0/48, TenGigabitEthernet1/1/1, AppGigabitEthernet1/0/1","2 Virtual, 52 Gigabit, 8 TenGigabit, 2 TwentyFiveGigabit, 2 FortyGigabit",FALSE,2,0,Standalone,Power sharing,2,PWR-C1-1100WAC,2200,3351,5832,57.46,0.0288,148452541,152358157,101101.588,101589.039,202690.627,197.94,26820000,34.755,0.755744,1.3541,0.0014,,,,,,,,Successfully connected to device.
SABLD420G02,cisco_ios,FOC2232Z0ZP,C9300-48U,10.70.100.31,Jebel Ali,70,29,41,48,"Vlan100, GigabitEthernet1/0/1, GigabitEthernet1/0/2, GigabitEthernet1/0/5, GigabitEthernet1/0/7, GigabitEthernet1/0/13, GigabitEthernet1/0/14, GigabitEthernet1/0/15, GigabitEthernet1/0/18, GigabitEthernet1/0/19, GigabitEthernet1/0/22, GigabitEthernet1/0/23, GigabitEthernet1/0/24, GigabitEthernet1/0/25, GigabitEthernet1/0/26, GigabitEthernet1/0/27, GigabitEthernet1/0/29, GigabitEthernet1/0/34, GigabitEthernet1/0/35, GigabitEthernet1/0/36, GigabitEthernet1/0/37, GigabitEthernet1/0/41, GigabitEthernet1/0/42, GigabitEthernet1/0/43, GigabitEthernet1/0/45, TenGigabitEthernet1/1/1, TenGigabitEthernet1/1/2, AppGigabitEthernet1/0/1, Port-channel1","3 Virtual, 52 Gigabit, 8 TenGigabit, 2 TwentyFiveGigabit, 2 FortyGigabit",FALSE,2,0,Standalone,Power sharing,2,PWR-C1-1100WAC,2200,3336,5832,57.2,0.0167,318186080,262481071,202965.173,146849.71,349814.883,341.616,16740000,59.982,2.089695,1.3481,0.0013,,,,,,,,Successfully connected to device.
ADM.214MKT_SW3,cisco_ios,FCW2233G0B7,C9300-48U,10.30.100.49,Jebel Ali,199,83,116,48,"Vlan100, GigabitEthernet1/0/1, GigabitEthernet1/0/2, GigabitEthernet1/0/3, GigabitEthernet1/0/4, GigabitEthernet1/0/5, GigabitEthernet1/0/8, GigabitEthernet1/0/9, GigabitEthernet1/0/10, GigabitEthernet1/0/11, GigabitEthernet1/0/12, GigabitEthernet1/0/13, GigabitEthernet1/0/14, GigabitEthernet1/0/16, GigabitEthernet1/0/17, GigabitEthernet1/0/19, GigabitEthernet1/0/20, GigabitEthernet1/0/21, GigabitEthernet1/0/22, GigabitEthernet1/0/23, GigabitEthernet1/0/24, GigabitEthernet1/0/25, GigabitEthernet1/0/27, GigabitEthernet1/0/43, GigabitEthernet1/0/44, GigabitEthernet1/0/45, TenGigabitEthernet1/1/1, AppGigabitEthernet1/0/1, GigabitEthernet2/0/1, GigabitEthernet2/0/2, GigabitEthernet2/0/3, GigabitEthernet2/0/5, GigabitEthernet2/0/7, GigabitEthernet2/0/8, GigabitEthernet2/0/9, GigabitEthernet2/0/10, GigabitEthernet2/0/12, GigabitEthernet2/0/13, GigabitEthernet2/0/14, GigabitEthernet2/0/16, GigabitEthernet2/0/17, GigabitEthernet2/0/18, GigabitEthernet2/0/21, GigabitEthernet2/0/23, GigabitEthernet2/0/25, GigabitEthernet2/0/27, GigabitEthernet2/0/29, GigabitEthernet2/0/31, GigabitEthernet2/0/33, GigabitEthernet2/0/35, GigabitEthernet2/0/36, GigabitEthernet2/0/37, GigabitEthernet2/0/39, GigabitEthernet2/0/45, GigabitEthernet2/0/46, GigabitEthernet2/0/47, GigabitEthernet2/0/48, TenGigabitEthernet2/1/1, AppGigabitEthernet2/0/1, GigabitEthernet3/0/2, GigabitEthernet3/0/3, GigabitEthernet3/0/4, GigabitEthernet3/0/6, GigabitEthernet3/0/12, GigabitEthernet3/0/13, GigabitEthernet3/0/15, GigabitEthernet3/0/16, GigabitEthernet3/0/17, GigabitEthernet3/0/18, GigabitEthernet3/0/21, GigabitEthernet3/0/24, GigabitEthernet3/0/30, GigabitEthernet3/0/35, GigabitEthernet3/0/37, GigabitEthernet3/0/38, GigabitEthernet3/0/40, GigabitEthernet3/0/42, GigabitEthernet3/0/45, GigabitEthernet3/0/46, GigabitEthernet3/0/47, GigabitEthernet3/0/48, AppGigabitEthernet3/0/1, Port-channel1","2 Virtual, 156 Gigabit, 24 TenGigabit, 6 TwentyFiveGigabit, 6 FortyGigabit",TRUE,2,2,Standalone,Power sharing,4,"PWR-C1-1100WAC,Unknown",2200,9984,17496,57.06,0.0843,178172802,141903195,125768.468,81765.347,207533.815,202.67,67050000,11.862,0.309521,4.0345,0.004,,,,,,,,Successfully connected to device.
SAHEADOFFG02,cisco_ios,FOC2233U0F7,C9300-48U,10.30.100.30,Jebel Ali,264,123,141,48,"Vlan100, GigabitEthernet1/0/1, GigabitEthernet1/0/2, GigabitEthernet1/0/3, GigabitEthernet1/0/5, GigabitEthernet1/0/6, GigabitEthernet1/0/7, GigabitEthernet1/0/8, GigabitEthernet1/0/9, GigabitEthernet1/0/10, GigabitEthernet1/0/12, GigabitEthernet1/0/14, GigabitEthernet1/0/21, GigabitEthernet1/0/22, GigabitEthernet1/0/24, GigabitEthernet1/0/25, GigabitEthernet1/0/31, GigabitEthernet1/0/32, GigabitEthernet1/0/33, GigabitEthernet1/0/34, GigabitEthernet1/0/35, GigabitEthernet1/0/36, GigabitEthernet1/0/37, GigabitEthernet1/0/38, GigabitEthernet1/0/41, GigabitEthernet1/0/42, GigabitEthernet1/0/43, GigabitEthernet1/0/44, GigabitEthernet1/0/45, GigabitEthernet1/0/47, GigabitEthernet1/0/48, TenGigabitEthernet1/1/1, AppGigabitEthernet1/0/1, GigabitEthernet2/0/1, GigabitEthernet2/0/2, GigabitEthernet2/0/3, GigabitEthernet2/0/4, GigabitEthernet2/0/5, GigabitEthernet2/0/6, GigabitEthernet2/0/7, GigabitEthernet2/0/8, GigabitEthernet2/0/9, GigabitEthernet2/0/10, GigabitEthernet2/0/13, GigabitEthernet2/0/15, GigabitEthernet2/0/16, GigabitEthernet2/0/17, GigabitEthernet2/0/18, GigabitEthernet2/0/19, GigabitEthernet2/0/20, GigabitEthernet2/0/21, GigabitEthernet2/0/22, GigabitEthernet2/0/23, GigabitEthernet2/0/24, GigabitEthernet2/0/25, GigabitEthernet2/0/26, GigabitEthernet2/0/27, GigabitEthernet2/0/28, GigabitEthernet2/0/29, GigabitEthernet2/0/30, GigabitEthernet2/0/31, GigabitEthernet2/0/32, GigabitEthernet2/0/33, GigabitEthernet2/0/34, GigabitEthernet2/0/35, GigabitEthernet2/0/36, GigabitEthernet2/0/37, GigabitEthernet2/0/38, GigabitEthernet2/0/39, GigabitEthernet2/0/40, GigabitEthernet2/0/41, GigabitEthernet2/0/42, GigabitEthernet2/0/43, GigabitEthernet2/0/44, GigabitEthernet2/0/45, GigabitEthernet2/0/46, GigabitEthernet2/0/48, AppGigabitEthernet2/0/1, GigabitEthernet3/0/1, GigabitEthernet3/0/2, GigabitEthernet3/0/3, GigabitEthernet3/0/4, GigabitEthernet3/0/5, GigabitEthernet3/0/6, GigabitEthernet3/0/7, GigabitEthernet3/0/8, GigabitEthernet3/0/9, GigabitEthernet3/0/10, GigabitEthernet3/0/11, GigabitEthernet3/0/13, GigabitEthernet3/0/14, GigabitEthernet3/0/17, GigabitEthernet3/0/19, GigabitEthernet3/0/21, GigabitEthernet3/0/22, GigabitEthernet3/0/26, GigabitEthernet3/0/31, GigabitEthernet3/0/33, GigabitEthernet3/0/34, GigabitEthernet3/0/38, GigabitEthernet3/0/41, TenGigabitEthernet3/1/1, AppGigabitEthernet3/0/1, GigabitEthernet4/0/1, GigabitEthernet4/0/2, GigabitEthernet4/0/6, GigabitEthernet4/0/8, GigabitEthernet4/0/10, GigabitEthernet4/0/12, GigabitEthernet4/0/14, GigabitEthernet4/0/16, GigabitEthernet4/0/17, GigabitEthernet4/0/32, GigabitEthernet4/0/36, GigabitEthernet4/0/37, GigabitEthernet4/0/38, GigabitEthernet4/0/39, GigabitEthernet4/0/40, GigabitEthernet4/0/42, GigabitEthernet4/0/43, GigabitEthernet4/0/44, AppGigabitEthernet4/0/1, Port-channel1","2 Virtual, 208 Gigabit, 32 TenGigabit, 8 TwentyFiveGigabit, 8 FortyGigabit",TRUE,4,0,Standalone,Power sharing,4,PWR-C1-1100WAC,4400,11602,20412,56.84,0.1059,195951209,180782960,112382.286,80437.949,192820.235,188.301,103698000,9.446,0.185944,4.6884,0.0047,,,,,,,,Successfully connected to 10.30.100.30
SACH2MGMT17013G01,cisco_ios,FCW2233C0KA,C9300-48U,10.20.100.34,Jebel Ali,69,33,36,48,"Vlan200, GigabitEthernet1/0/3, GigabitEthernet1/0/4, GigabitEthernet1/0/5, GigabitEthernet1/0/6, GigabitEthernet1/0/7, GigabitEthernet1/0/8, GigabitEthernet1/0/9, GigabitEthernet1/0/10, GigabitEthernet1/0/11, GigabitEthernet1/0/12, GigabitEthernet1/0/13, GigabitEthernet1/0/14, GigabitEthernet1/0/15, GigabitEthernet1/0/16, GigabitEthernet1/0/17, GigabitEthernet1/0/18, GigabitEthernet1/0/19, GigabitEthernet1/0/20, GigabitEthernet1/0/21, GigabitEthernet1/0/22, GigabitEthernet1/0/23, GigabitEthernet1/0/24, GigabitEthernet1/0/25, GigabitEthernet1/0/26, GigabitEthernet1/0/27, GigabitEthernet1/0/28, GigabitEthernet1/0/29, GigabitEthernet1/0/31, TenGigabitEthernet1/1/1, TenGigabitEthernet1/1/2, AppGigabitEthernet1/0/1, Port-channel1","2 Virtual, 52 Gigabit, 8 TenGigabit, 2 TwentyFiveGigabit, 2 FortyGigabit",FALSE,2,0,Standalone,Power sharing,2,PWR-C1-1100WAC,2200,3312,5832,56.79,0.018,241802371,185252244,215052.95,109029.325,324082.275,316.487,26100000,55.57,1.241695,1.3384,0.0013,,,,,,,,Successfully connected to device.
ADM.2003FIN.1F.A-ASW.3,cisco_ios,FCW2233D0BY,C9300-48U,10.30.100.21,Jebel Ali,69,23,46,48,"Vlan100, GigabitEthernet1/0/3, GigabitEthernet1/0/7, GigabitEthernet1/0/8, GigabitEthernet1/0/16, GigabitEthernet1/0/17, GigabitEthernet1/0/18, GigabitEthernet1/0/21, GigabitEthernet1/0/22, GigabitEthernet1/0/24, GigabitEthernet1/0/28, GigabitEthernet1/0/29, GigabitEthernet1/0/30, GigabitEthernet1/0/31, GigabitEthernet1/0/34, GigabitEthernet1/0/35, GigabitEthernet1/0/36, GigabitEthernet1/0/37, GigabitEthernet1/0/38, TenGigabitEthernet1/1/1, TenGigabitEthernet1/1/2, AppGigabitEthernet1/0/1, Port-channel1","2 Virtual, 52 Gigabit, 8 TenGigabit, 2 TwentyFiveGigabit, 2 FortyGigabit",FALSE,2,0,Standalone,Power sharing,2,PWR-C1-1100WAC,2200,3312,5832,56.79,0.0675,79424999,55252278,53346.103,33013.178,86359.281,84.335,21150000,14.808,0.408318,1.3384,0.0013,,,,,,,,Successfully connected to device.
